col_anno	Breed	Stage	Type
LD0_1	LDR	D0	Postnatal
LD0_2	LDR	D0	Postnatal
LD0_3	LDR	D0	Postnatal
LD9_1	LDR	D9	Postnatal
LD9_2	LDR	D9	Postnatal
LD9_3	LDR	D9	Postnatal
LD20_1	LDR	D20	Postnatal
LD20_2	LDR	D20	Postnatal
LD20_3	LDR	D20	Postnatal
LD30_1	LDR	D30	Postnatal
LD30_2	LDR	D30	Postnatal
LD30_3	LDR	D30	Postnatal
LD40_1	LDR	D40	Postnatal
LD40_2	LDR	D40	Postnatal
LD40_3	LDR	D40	Postnatal
LD60_1	LDR	D60	Postnatal
LD60_2	LDR	D60	Postnatal
LD60_3	LDR	D60	Postnatal
LD80_1	LDR	D80	Postnatal
LD80_2	LDR	D80	Postnatal
LD80_3	LDR	D80	Postnatal
LD100_1	LDR	D100	Postnatal
LD100_2	LDR	D100	Postnatal
LD100_3	LDR	D100	Postnatal
LD120_1	LDR	D120	Postnatal
LD120_2	LDR	D120	Postnatal
LD120_3	LDR	D120	Postnatal
LD140_1	LDR	D140	Postnatal
LD140_2	LDR	D140	Postnatal
LD140_3	LDR	D140	Postnatal
LD160_1	LDR	D160	Postnatal
LD160_2	LDR	D160	Postnatal
LD160_3	LDR	D160	Postnatal
LD180_1	LDR	D180	Postnatal
LD180_2	LDR	D180	Postnatal
LD180_3	LDR	D180	Postnatal
